Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2022,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Social Security Fica Tax,106781.43,117824
2022,General Services,General Fund,Facility and Enterprise Management,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,106998.45,184400
2022,Transportation,General Fund,Transportation,"Materials, Supplies, and Repairs",Signs,107068.39,187175
2022,Police,General Fund,Administrative Services,Personnel Services,Special Pay & Allowances,107800.84,134700
2022,Outside Agencies,General Fund,Downtown Norfolk Council,Department Specific Appropriation,All Purpose Appropriations,108000,108000
2022,Development,General Fund,Development Division,Personnel Services,Social Security Fica Tax,108435.91,119694
2022,Neighborhood Development,General Fund,Nuisance Abatement,Department Specific Appropriation,Demolition,108847.34,258000
2022,General Services,General Fund,Animal Care Center,Personnel Services,Retirement,109362,109362
2022,Norfolk Community Services Board,Community Services Board,Board Operations,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,109481,110294
2022,Libraries,General Fund,Programming Services,"Materials, Supplies, and Repairs",Supplies-Program,112025.31,153466.05
2022,Water,Water Utility Fund,Division of Water Distribution,"Materials, Supplies, and Repairs",Chargeouts-Data Processing,112320,112320
2022,Water,Water Utility Fund,Division Of Water Quality,Personnel Services,Retirement,114247,114247
2022,Norfolk Community Services Board,Community Services Board,Integrated Care Clinic,Personnel Services,Employers Contrb Hospitalizatn,114353,183869
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,Personnel Services,Retirement,114625.12,150878
2022,Public Works,Gen Fixed Assets Group Of Acct,Street Const & Maint Projects,Contractual Services,Depr-System Account,114942.19,0
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Department Specific Appropriation,All Purpose Appropriations,115283.48,0
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Personnel Services,Special Pay & Allowances,115458.34,139617
2022,Planning and Community Development,General Fund,Division of Codes Administration,Personnel Services,Social Security Fica Tax,116668.36,130947
2022,Transportation,General Fund,Transportation Strategy and Innovation,Personnel Services,Semi-Monthly/Monthly,117091.28,207753
2022,Neighborhood Development,General Fund,Director's Office,Personnel Services,Employers Contrb Hospitalizatn,117185.02,110154
2022,Libraries,General Fund,Director¿s Office,Personnel Services,Retirement,117385,117385
2022,Public Works,General Fund,Streets And Bridges,"Materials, Supplies, and Repairs",Repairs-Buildings,118402.18,69059
2022,Police,General Fund,Chief Of Police,Personnel Services,Semi-Monthly/Monthly Overtime,118430.88,372189
2022,Human Resources,General Fund,Director Of Human Resources,Personnel Services,Social Security Fica Tax,118610.21,147825
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,Contractual Services,Security Services,118700.86,116745
2022,Public Amenities,Public Amenities,Conference Center Project,Contractual Services,Other Contractual Services,118838,160000
2022,Water,Water Utility Fund,Divison Of Water Accounts,"Materials, Supplies, and Repairs",Chargeouts-Data Processing,119340,119340
2022,Neighborhood Development,General Fund,IMPACT Norfolk,Personnel Services,Retirement,120537,120537
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Social Security Fica Tax,120849.68,123450
2022,Norfolk Community Services Board,Community Services Board,SA Case Management,Personnel Services,Semi-Monthly/Monthly,121167.83,234080
2022,Norfolk Community Services Board,Community Services Board,Administrative Services,Personnel Services,Retirement,121178,121178
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Gas-Natural & Propane,121333.15,118891
2022,Human Services,General Fund,Social Services,Personnel Services,Retirement Expense (Vsrs Emp),121646,0
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Personnel Services,Employers Contrb Hospitalizatn,122080.86,114581
2022,Sheriff,General Fund,Sheriff And Jail,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,122774.7,220000
2022,Outside Agencies,General Fund,Hampton Roads Military and Federal Facilities Alliance,Department Specific Appropriation,All Purpose Appropriations,123544,123544
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",Chargeouts-Data Processing,124020,124020
2022,Police,General Fund,Investigative Services,Personnel Services,Group Life Insurance Perm,124043.18,158579
2022,Departmental Support,General Fund,Industrial Commission Of Va,Contractual Services,Taxes,124177.98,137671
2022,Transportation,General Fund,Right of Way,Personnel Services,Retirement,124217,124217
2022,City Manager,General Fund,City Manager,Personnel Services,Social Security Fica Tax,124412.65,129656
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Personnel Services,Retirement,124677,124677
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,Contractual Services,Security Services,124771.12,131648
2022,Libraries,General Fund,Collection and Support Services,Personnel Services,Retirement,124861,124861
2022,Outside Agencies,General Fund,Nauticus exhibits,Department Specific Appropriation,All Purpose Appropriations,125000,125000
2022,Norfolk Community Services Board,Community Services Board,Homeless Center 1050 Tidewater Dr,Department Specific Appropriation,Building Construction,125059.31,155291
2022,The Department of Parks & Recreation (P&R),General Fund,Youth Development,Personnel Services,Semi-Monthly/Monthly,125091.91,70597
2022,Public Works,General Fund,Bureau Of Design,Personnel Services,Social Security Fica Tax,125137.26,133195
2022,Public Health,General Fund,Vector Control,Personnel Services,Semi-Monthly/Monthly,125213.33,203201
2022,Departmental Support,General Fund,Sor Initiative,Contractual Services,Other Contractual Services,125500,135000
2022,The National Maritime Center,Maritime Center,Schools & Education Services,Personnel Services,Semi-Monthly/Monthly,125525.26,133010
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Contractual Services,Membership Dues & Subscription,125591.69,20500
2022,Outside Agencies,General Fund,NATO Festival,Department Specific Appropriation,All Purpose Appropriations,126324,126324
2022,Planning and Community Development,General Fund,Planning,Personnel Services,Employers Contrb Hospitalizatn,127540.27,125002
2022,Norfolk Community Services Board,Community Services Board,Mental Health Services Admin,Personnel Services,Semi-Monthly/Monthly,127792.04,201459
2022,Communications and Technology,Gen Fixed Assets Group Of Acct,Public Safety Radio Comm. System Upgrade,Contractual Services,Depr-System Account,128551.83,0
2022,Norfolk Community Services Board,Community Services Board,Integrated Care Clinic,Contractual Services,Other Contractual Services,128730.59,176403
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,Contractual Services,Water & Sewage Disposal,129627.12,62501
2022,Police,General Fund,Property-Evidence,"Materials, Supplies, and Repairs",Supplies-Police,130131.73,198540
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,Equipment,Equip-Bldg-Mech & Portable,130344.08,107541
2022,Slover Library,General Fund,Slover Library,Equipment,Equip-Books-Over $1000,132317.4,255502
2022,Departmental Support,General Fund,Cementaries Support,Department Specific Appropriation,All Purpose Appropriations,132974,283805
2022,General Services,General Fund,Facility and Enterprise Management,Contractual Services,Refuse & Garbage Disposal,133650.23,154594
2022,Development,General Fund,Development Division,Personnel Services,Temporary/Casual Employment,133691.14,3864
2022,Water,Water Utility Fund,Divison Of Water Accounts,Personnel Services,Employers Contrb Hospitalizatn,134264.45,126207
2022,Clerk of the Circuit Court,General Fund,Clerk Of Circuit Court,Contractual Services,Other Contractual Services,134378.26,153719
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Contractual Services,Refuse & Garbage Disposal,134450.83,220000
2022,Outside Agencies,General Fund,"Southside Boys and Girls Club, Inc",Department Specific Appropriation,All Purpose Appropriations,135000,135000
2022,The National Maritime Center,Maritime Center,Cruise Ship Terminal,"Materials, Supplies, and Repairs",Electricity,135334.82,130499
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Personnel Services,Social Security Fica Tax,135763.08,199895
2022,Water,Water Utility Fund,Utility Director Office,Contractual Services,"Allocations, General/Indirect",136096,136096
2022,Norfolk Community Services Board,Community Services Board,Child And Adolescent Cm,Personnel Services,Semi-Monthly/Monthly,136827.75,376167
2022,Fire-Rescue,General Fund,Dept Of Fire - Rescue Services,Personnel Services,Temporary/Casual Employment,137302.29,115648
2022,Sheriff,General Fund,Sheriff And Jail,"Materials, Supplies, and Repairs",Supplies-Police,138240.42,80000
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Electricity,138273.11,103490
2022,Sheriff,General Fund,Sheriff And Jail,Contractual Services,Other Contractual Services,138944.17,230000
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Employers Contrb Hospitalizatn,139109.46,139968
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,139250.17,183460
2022,General Services,General Fund,Facility and Enterprise Management,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,139872,139871
2022,Norfolk Community Services Board,Community Services Board,Youth Outpatient,Personnel Services,Semi-Monthly/Monthly,139953.59,381227
2022,Outside Agencies,General Fund,Housing First,Department Specific Appropriation,All Purpose Appropriations,140000,140000
2022,Libraries,General Fund,Administrative Support,Personnel Services,Semi-Monthly/Monthly,140384.3,136770
2022,Office of Marketing and Communications,General Fund,Office of Marketing and Communications,Personnel Services,Employers Contrb Hospitalizatn,142664.55,173828
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Social Security Fica Tax,142818.91,156448
2022,Human Resources,General Fund,Director Of Human Resources,Contractual Services,Temp Services-Admin/Clerical,142890.16,0
2022,Human Services,General Fund,State Fully Reimbursable (general),Personnel Services,Semi-Monthly/Monthly,143027.5,0
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,Personnel Services,Retirement,143156.66,138308
2022,Norfolk Community Services Board,Community Services Board,Quality Management,Personnel Services,Semi-Monthly/Monthly,143288.34,142771
2022,Human Resources,General Fund,Director Of Human Resources,Personnel Services,Employers Contrb Hospitalizatn,144035.83,155122
2022,Clerk of the Circuit Court,General Fund,Clerk Of Circuit Court,Personnel Services,Social Security Fica Tax,144039.65,163738
2022,Water,Water Utility Fund,Utility Director Office,Personnel Services,Retirement,144154,144154
2022,Norfolk Community Services Board,Community Services Board,Homeless Center 1050 Tidewater Dr,Personnel Services,Temporary/Casual Employment,144442.6,145641
2022,Finance Department,General Fund,City Controller,Personnel Services,Social Security Fica Tax,144484.37,151532
2022,Water,Water Utility Fund,Division of Water Production,Contractual Services,Temp Services-Laborer/Industrl,146017.66,120000
2022,Norfolk Community Services Board,Community Services Board,Youth Outpatient,Personnel Services,Salary - Special Projects,146585.04,0
2022,Public Health,General Fund,Vector Control,Department Specific Appropriation,All Purpose Appropriations,146687,158313
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Contractual Services,Other Contractual Services,147145.63,252360
2022,Water,Water Utility Fund,Divison Of Water Accounts,Contractual Services,"Allocations, General/Indirect",147266,147266
2022,Parking Facilities Fund,Parking Facilities,Operations,Personnel Services,Social Security Fica Tax,147401.19,222605
2022,Police,General Fund,Police Administration,Personnel Services,Semi-Monthly/Monthly Overtime,148107.79,166968
2022,Norfolk Community Services Board,Community Services Board,Behavioral Health Outpatient Services,Personnel Services,Semi-Monthly/Monthly,148879.17,281377
2022,Sheriff,General Fund,Sheriff And Jail,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,151260.49,151256
2022,Development,General Fund,Development Division,Contractual Services,Rent Of Land-Bldgs & Offices,152137.76,158802
2022,Transportation,General Fund,Directors Office,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,152340,152341
2022,Water,Water Utility Fund,Divison Of Water Accounts,Contractual Services,Temp Services-Admin/Clerical,154587.69,216458
2022,Finance Department,General Fund,Finance Director Office,Personnel Services,Retirement,154617,154617
2022,Norfolk Community Services Board,Community Services Board,MH Case Management,Personnel Services,Employers Contrb Hospitalizatn,154748.82,219783
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,Personnel Services,Retirement,155738,155738
2022,Police,Gen Fixed Assets Group Of Acct,Administrative Services,Contractual Services,Depr-System Account,157634.57,0
2022,Norfolk Community Services Board,Community Services Board,Homeless Project - Path,Personnel Services,Semi-Monthly/Monthly,157694.03,154501
2022,Libraries,General Fund,Branch Operations,Personnel Services,Social Security Fica Tax,158337.42,146102
2022,General Services,General Fund,Animal Care Center,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,160196.9,278190
2022,Public Works,General Fund,Directors Office Public Works,Personnel Services,Retirement,160637,160637
2022,General Services,General Fund,Director's Office General Services,Personnel Services,Retirement,160736,160736
2022,Departmental Support,General Fund,Municipal Parking,Department Specific Appropriation,Parking Incentives,160901,319100
2022,Departmental Support,General Fund,Contingent Fund,Department Specific Appropriation,All Purpose Appropriations,161521.76,650000
2022,Fire-Rescue,General Fund,Operations,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,161525.06,107481
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center Annex,Contractual Services,Other Contractual Services,161901.55,229747
2022,Norfolk Community Services Board,Community Services Board,Integrated Care Clinic,Personnel Services,Temporary/Casual Employment,162325.01,3819
2022,Neighborhood Development,General Fund,Neighborhood Quality,Personnel Services,Retirement,162473,162473
2022,Outside Agencies,General Fund,Virginia Zoo Society,Department Specific Appropriation,All Purpose Appropriations,162500,162500
2022,Transportation,General Fund,Transportation,Personnel Services,Social Security Fica Tax,162976.85,192357
2022,Finance Department,General Fund,Purchasing Agent,Personnel Services,Retirement,163425,163425
2022,Departmental Support,Gen Fixed Assets Group Of Acct,Chrysler Museum At Norfolk,Contractual Services,Depr-System Account,163775.5,0
2022,Public Works,General Fund,Utility Cuts Repairs,Personnel Services,Semi-Monthly/Monthly,164336.26,229252
2022,Police,General Fund,Technology Support Unit,Contractual Services,Telephone,164457,164457
2022,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Employers Contrb Hospitalizatn,164573,167887
2022,Libraries,General Fund,Lifelong Learning,Contractual Services,Other Contractual Services,164912.58,165500
2022,Fire-Rescue,Gen Fixed Assets Group Of Acct,Assistance To Firefighter Grant,Contractual Services,Depr-System Account,165542.26,0
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,Personnel Services,Semi-Monthly/Monthly,166026.61,157063
2022,Development,General Fund,Development Division,Personnel Services,Employers Contrb Hospitalizatn,166669.01,163156
2022,Finance Department,General Fund,Independent Auditors,Contractual Services,Other Contractual Services,166969.83,168852
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,Personnel Services,Semi-Monthly/Monthly Overtime,168956.48,88840
2022,Zoological Park,General Fund,Animal Services,Personnel Services,Retirement,169685,169685
2022,Norfolk Community Services Board,Community Services Board,Support Services,Contractual Services,Bad Debt Expense,170714,0
2022,Outside Agencies,General Fund,Special Programs and Sponsorships,Department Specific Appropriation,All Purpose Appropriations,171466.62,180000
2022,Water,Water Utility Fund,Divison Of Water Accounts,Personnel Services,Retirement,172319,172319
2022,Libraries,General Fund,Sargeant Memorial Collection (SMC),Personnel Services,Semi-Monthly/Monthly,173684.97,158113
2022,Human Services,General Fund,Social Services,Personnel Services,Temporary/Casual Employment,173705.06,407085
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,Personnel Services,Social Security Fica Tax,174061.84,158340
2022,Norfolk Community Services Board,Community Services Board,Prevention Services,Personnel Services,Semi-Monthly/Monthly,175695.7,193399
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,Contractual Services,Rent Of Land-Bldgs & Offices,176703.12,196706
2022,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Employers Contrb Hospitalizatn,176945.31,175159
2022,Departmental Support,General Fund,Smart Processing,Contractual Services,Other Contractual Services,177247.59,181193
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Water & Sewage Disposal,177356.36,285635
2022,Neighborhood Development,General Fund,Neighborhood Quality,Personnel Services,Employers Contrb Hospitalizatn,180212.66,163141
2022,Departmental Support,General Fund,Retirement Hospitalization,Personnel Services,Retirement,180341.07,180339
2022,Fire-Rescue,General Fund,Operations,"Materials, Supplies, and Repairs",Electricity,181444,197416.16
2022,Transportation,General Fund,Transportation,"Materials, Supplies, and Repairs",Electricity,182756.26,177952
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,Personnel Services,Semi-Monthly/Monthly,183182.8,258430
2022,Human Services,General Fund,Ysb - Secure Detention,Personnel Services,Temporary/Casual Employment,183277.3,189305
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Personnel Services,Retirement,183880,183880
2022,Human Services,Gen Fixed Assets Group Of Acct,Youth Services Bureau,Contractual Services,Depr-System Account,184703.09,0
2022,Human Services,General Fund,Social Services,Contractual Services,Rent Of Equipment,185558.72,239953
2022,Slover Library,General Fund,Slover Library,Personnel Services,Employers Contrb Hospitalizatn,185562.93,174024
2022,The National Maritime Center,Maritime Center,Visitors Services,Personnel Services,Semi-Monthly/Monthly,186408.05,219566
2022,Public Works,General Fund,Utility Cuts Repairs,Personnel Services,Semi-Monthly/Monthly Overtime,186412.18,125000
2022,Waste Management,Waste Management,Waste Management,Equipment,Equip-Bldg-Mech & Portable,186944,308925
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Personnel Services,Semi-Monthly/Monthly Overtime,190568.65,35266
2022,Norfolk Community Services Board,Community Services Board,Intellectual Disabilities Service Admin,Personnel Services,Semi-Monthly/Monthly,191294.52,119493
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Contractual Services,Payments In Lieu Of Taxes,191807,191807
2022,Planning and Community Development,General Fund,Planning,Personnel Services,Retirement,192657,192657
2022,Police,General Fund,Administrative Services,Personnel Services,Temporary/Casual Employment,192871.07,108978
2022,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Retirement,193342,193342
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Contractual Services,Ins-Gen Liability & Property,194604.28,178323
2022,Outside Agencies,General Fund,Convention Center Subsidy,Department Specific Appropriation,All Purpose Appropriations,195000,195000
2022,Office of Marketing and Communications,General Fund,Office of Marketing and Communications,Personnel Services,Retirement,196788,196788
2022,Finance Department,Gen Fixed Assets Group Of Acct,Finance Director Office,Contractual Services,Depr-System Account,196975.08,0
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",AFMS,198267,198267
2022,Zoological Park,General Fund,Operations,Contractual Services,Other Contractual Services,198675.62,151000
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,Contractual Services,Rent Of Land-Bldgs & Offices,199260.93,181575
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,Personnel Services,Temporary/Casual Employment,199370.32,255091
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Contractual Services,Other Contractual Services,200361.62,202826
2022,Zoological Park,General Fund,Animal Services,Personnel Services,Employers Contrb Hospitalizatn,200748.36,213861
2022,Police,General Fund,Training,Contractual Services,Recruitment Expense,202155.95,257597
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Contractual Services,Other Contractual Services,202257.8,158750
2022,Water,Water Utility Fund,Division Of Engineering,Personnel Services,Social Security Fica Tax,202899.62,246052
2022,Outside Agencies,General Fund,Virginia Stage Company,Department Specific Appropriation,All Purpose Appropriations,203837,203837
2022,General Services,General Fund,Animal Care Center,Contractual Services,Rent Of Land-Bldgs & Offices,205716.34,205714
2022,Departmental Support,General Fund,Risk Management,Contractual Services,"Ins-Self, 3RD Party, Auto Liab",206579.99,700000
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,Contractual Services,Other Contractual Services,206584.93,114472
2022,Neighborhood Development,General Fund,Nuisance Abatement,Department Specific Appropriation,All Purpose Appropriations,207392,201387
2022,Public Works,General Fund,Streets And Bridges,"Materials, Supplies, and Repairs",Repairs-Streets & Sidewalks,208174.97,591992
2022,Outside Agencies,General Fund,Hampton Rds Planning Dist Comm,Department Specific Appropriation,All Purpose Appropriations,209154,209154
2022,Waste Management,Waste Management,Waste Management,Department Specific Appropriation,All Purpose Appropriations,210157,210157
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,"Materials, Supplies, and Repairs",Chargeouts-Data Processing,212452,212452
2022,Debt Service,General Fund,Issue Costs-Fiscal Agents Comm,Debt Service/Transfers to CIP,Go Bonds-Expense For New Issue,213063.67,500000
2022,Zoological Park,General Fund,Operations,Contractual Services,Water & Sewage Disposal,213533.18,197341
2022,Police,General Fund,Investigative Services,Personnel Services,Social Security Fica Tax,214245.97,267485
2022,Outside Agencies,General Fund,Virginia Symphony,Department Specific Appropriation,All Purpose Appropriations,214493,214493
2022,Cultural Facilities Arts Entertainment,General Fund,Harbor Park,"Materials, Supplies, and Repairs",Electricity,215184.89,161091
2022,Water,Water Utility Fund,Division of Water Distribution,Contractual Services,Other Contractual Services,216765.9,557434
2022,Water,Water Utility Fund,Division Of Engineering,Contractual Services,"Allocations, General/Indirect",216946,216946
2022,Waste Management,Waste Management,Waste Management,Contractual Services,Temp Services-Laborer/Industrl,217071.83,316000
2022,Parking Facilities Fund,Parking Facilities,Operations,"Materials, Supplies, and Repairs",Chargeouts-Data Processing,217620,217620
2022,Planning and Community Development,General Fund,Division of City Planning,Personnel Services,Semi-Monthly/Monthly,217725.16,177631
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,Personnel Services,Semi-Monthly/Monthly,218312.53,224940
2022,Zoological Park,General Fund,Veterinary & Wellness Campus,"Materials, Supplies, and Repairs",Food,220105.89,236038.53
2022,Office of Marketing and Communications,General Fund,Norfolk Arts,Personnel Services,Semi-Monthly/Monthly,220486.39,219690
2022,Outside Agencies,General Fund,Nflk Comm On Arts & Humanities,Department Specific Appropriation,All Purpose Appropriations,220524,220524
2022,Human Services,General Fund,Social Services,Personnel Services,Group Life Insurance Perm,220641.87,250703
2022,Human Services,General Fund,Social Services,Contractual Services,Other Contractual Services,221700.85,204174
2022,Public Works,General Fund,Streets And Bridges,Personnel Services,Social Security Fica Tax,223509.46,254224
2022,Human Services,General Fund,Social Services,Contractual Services,Security Services,224458.38,244054
2022,Outside Agencies,General Fund,Virginia Opera,Department Specific Appropriation,All Purpose Appropriations,225593,225593
2022,The Department of Parks & Recreation (P&R),Gen Fixed Assets Group Of Acct,Recreation Parks Open Space,Contractual Services,Depr-System Account,225837.63,0
2022,Neighborhood Development,General Fund,Director's Office,Personnel Services,Retirement,226082,226082
2022,Finance Department,General Fund,Ambulance Billing,Contractual Services,Other Contractual Services,226769.85,300000
2022,City Manager,General Fund,City Manager,Contractual Services,Other Contractual Services,228607.81,230708
2022,Human Services,General Fund,Social Services,Public Assistance,Fostering Futures IV-E Foster Care,229190.05,208198
2022,Zoological Park,General Fund,Operations,"Materials, Supplies, and Repairs",Electricity,230911.88,250000
2022,Fire-Rescue,General Fund,Administration,Contractual Services,Rent Of Land-Bldgs & Offices,230962.29,230962
2022,Norfolk Community Services Board,Community Services Board,Integrated Care Clinic,Personnel Services,Retirement,233715.26,207739
2022,Waste Management,Waste Management,Waste Management,Contractual Services,Other Contractual Services,237460.24,406245
2022,Zoological Park,General Fund,Horticulture Services,Personnel Services,Semi-Monthly/Monthly,239272.44,262541
2022,Public Works,General Fund,Bureau Of Design,Personnel Services,Employers Contrb Hospitalizatn,240885.32,219180
2022,City Attorney,General Fund,City Attorney,Personnel Services,Social Security Fica Tax,240888.43,249875
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,Personnel Services,Social Security Fica Tax,244080.59,285638
2022,Clerk of the Circuit Court,General Fund,Clerk Of Circuit Court,Personnel Services,Retirement Expense (Vsrs Emp),246707.46,240254
2022,Water,Water Utility Fund,Utility Director Office,Contractual Services,Depr-Buildings,247124.48,0
2022,Norfolk Community Services Board,Community Services Board,Emergency Services,Personnel Services,Semi-Monthly/Monthly,247414.85,746537
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,"Materials, Supplies, and Repairs",Repairs-Marine Maintenance,250000,250000
2022,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Retirement,251363,251363
2022,Sheriff,General Fund,Sheriff And Jail,Personnel Services,Group Life Insurance Perm,251539.68,302857
2022,Public Amenities,Public Amenities,Conference Center Project,Department Specific Appropriation,All Purpose Appropriations,252203.07,327000
2022,Water,Water Utility Fund,Division of Water Distribution,Personnel Services,Social Security Fica Tax,253129.12,304149
2022,Human Services,General Fund,Social Services,Contractual Services,Telephone Chargeback I.S.,258480,258480
2022,Slover Library,General Fund,Slover Library,Personnel Services,Retirement,260089,260089
2022,Development,General Fund,Development Division,Personnel Services,Retirement,260889,260889
2022,Police,General Fund,Field Operations,Personnel Services,Group Life Insurance Perm,261182.08,361147
2022,Clerk of the Circuit Court,General Fund,Clerk Of Circuit Court,Personnel Services,Employers Contrb Hospitalizatn,261352.31,263515
2022,Outside Agencies,General Fund,Nauticus Foundation,Department Specific Appropriation,All Purpose Appropriations,262188.84,265000
2022,Zoological Park,General Fund,Veterinary & Wellness Campus,Personnel Services,Semi-Monthly/Monthly,263282.45,235873
2022,Finance Department,General Fund,Red Light Camera,Contractual Services,Other Contractual Services,264000,270000
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Semi-Monthly/Monthly,264310.73,266826
2022,Police,General Fund,Investigative Services,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,266192,266190
2022,Norfolk Community Services Board,Community Services Board,MH Case Management,Personnel Services,Retirement,266817,266817
2022,Development,General Fund,Development Division,Contractual Services,Other Contractual Services,269083.13,265633.08
2022,Human Services,General Fund,Social Services,Personnel Services,Semi-Monthly/Monthly Overtime,269470.73,129462
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,Personnel Services,Social Security Fica Tax,269662.11,342638
2022,City Manager,General Fund,City Manager,Personnel Services,Retirement,271165,271165
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Personnel Services,Social Security Fica Tax,276268.28,329563
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,Personnel Services,Semi-Monthly/Monthly,278372.25,1037517
2022,Emergency Preparedness and Response,EOC-911,Services-Civil Emergency,Personnel Services,Semi-Monthly/Monthly,278928.13,395103
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,Contractual Services,Telephone,279194.44,295197
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,Personnel Services,Employers Contrb Hospitalizatn,279673.85,218651
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Retirement,281183,281183
2022,General Services,General Fund,Facility and Enterprise Management,Personnel Services,Social Security Fica Tax,281988.13,338533.69
2022,Human Services,General Fund,Ysb - Secure Detention,Personnel Services,Social Security Fica Tax,283619.26,251792
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Repairs-Streets & Sidewalks,285957.53,365000
2022,Finance Department,General Fund,City Controller,Personnel Services,Employers Contrb Hospitalizatn,285980.85,279707
2022,Outside Agencies,General Fund,Hampton Rds Eco Devel,Department Specific Appropriation,All Purpose Appropriations,286435,286435
2022,Human Services,General Fund,Social Services,Contractual Services,Telephone,287630.93,336000
2022,Departmental Support,General Fund,Risk Management,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,291871.62,200000
2022,Sheriff,General Fund,Sheriff And Jail,Equipment,Equip-Software-Over $1000,294703.83,323193
2022,Police,General Fund,Chief Of Police,Contractual Services,Rent Of Land-Bldgs & Offices,299023.01,299023
2022,Parking Facilities Fund,Parking Facilities,Operations,Contractual Services,Temp Services-Laborer/Industrl,299560.46,158000
2022,Human Services,General Fund,Ysb - Secure Detention,"Materials, Supplies, and Repairs",Food,300018.19,278670
